,images,MorF
31,"[[151 149 150 ... 149 150 151]
 [149 151 149 ... 150 153 148]
 [150 148  41 ...  39  49 151]
 ...
 [149 150  81 ...  83  82 150]
 [150 150  80 ...  78  79 150]
 [150 149 150 ... 152 152 149]]",F
32,"[[150 149 150 ... 150 150 151]
 [150 152 148 ... 149 153 148]
 [151 148 113 ...  25  36 151]
 ...
 [150 149  37 ...  15  29 149]
 [150 150  43 ...  21  39 149]
 [151 147 153 ... 149 154 150]]",F
33,"[[150 151 149 ... 149 150 150]
 [150 147 153 ... 151 150 149]
 [148 151  46 ...  53  59 148]
 ...
 [150 151  38 ...  82  59 152]
 [148 151  49 ... 114  64 149]
 [151 151 152 ... 151 149 153]]",M
34,"[[149 151 149 ... 151 150 150]
 [150 147 152 ... 150 146 151]
 [151 154  43 ...  73  76 149]
 ...
 [152 148  53 ...  71  73 153]
 [150 149  63 ...  72  77 148]
 [150 150 152 ... 149 149 153]]",F
35,"[[150 151 148 ... 149 151 149]
 [149 150 153 ... 149 148 152]
 [151 147 225 ... 240 229 150]
 ...
 [150 147 155 ...  94  92 152]
 [150 151 162 ...  90  92 150]
 [149 148 152 ... 149 151 149]]",F
36,"[[150 150 150 ... 150 152 148]
 [150 149 152 ... 148 147 153]
 [151 151  44 ... 113 121 147]
 ...
 [151 153  93 ...  33  44 151]
 [150 146  95 ...  42  52 146]
 [150 150 150 ... 151 150 151]]",M
37,"[[151 149 150 ... 149 151 151]
 [151 148 150 ... 148 151 149]
 [149 154  32 ...  44  55 149]
 ...
 [150 153 137 ...  69  86 152]
 [150 151  84 ...  72  93 146]
 [150 149 147 ... 151 150 153]]",M
38,"[[150 150 150 ... 150 150 152]
 [149 151 148 ... 152 153 145]
 [151 150 129 ...  31  39 155]
 ...
 [152 149 133 ...  73  76 151]
 [150 146 134 ...  71  77 149]
 [150 151 148 ... 150 150 153]]",M
39,"[[149 150 150 ... 150 150 150]
 [151 150 147 ... 151 151 150]
 [149 152  92 ... 160 159 150]
 ...
 [150 150  91 ...  39  55 150]
 [149 150  97 ...  35  49 150]
 [150 150 150 ... 150 150 150]]",F
40,"[[150 149 150 ... 150 149 151]
 [150 151 149 ... 151 149 145]
 [149 152 147 ...  67 134 154]
 ...
 [149 150  18 ...  45  33 146]
 [150 153  28 ...  37  43 153]
 [150 147 154 ... 151 150 147]]",F
41,"[[151 149 150 ... 150 150 150]
 [149 149 151 ... 150 150 148]
 [150 154 140 ...  27  41 153]
 ...
 [150 151 126 ...  24  38 150]
 [150 151 131 ...  38  46 152]
 [149 152 148 ... 150 150 151]]",F
42,"[[150 150 150 ... 150 150 151]
 [150 152 151 ... 150 147 151]
 [150 148  49 ...  61  73 152]
 ...
 [148 151 101 ...  79  72 151]
 [150 153 103 ...  91  53 149]
 [150 149 145 ... 148 155 150]]",F
43,"[[151 150 150 ... 151 148 152]
 [150 149 147 ... 149 155 144]
 [152 151  42 ...  28  42 152]
 ...
 [150 150  46 ... 159 161 150]
 [150 148  57 ... 160 163 152]
 [152 149 148 ... 149 153 147]]",F
44,"[[150 152 149 ... 150 150 150]
 [150 144 153 ... 150 150 145]
 [150 152  34 ...  31  41 153]
 ...
 [151 151  25 ...  21  32 152]
 [150 147  36 ...  32  43 152]
 [151 149 150 ... 153 151 146]]",M
45,"[[149 150 150 ... 151 148 150]
 [151 147 151 ... 149 153 151]
 [149 154  26 ...  23  33 149]
 ...
 [152 152  22 ...  21  27 151]
 [149 147  36 ...  31  42 150]
 [150 153 149 ... 150 149 150]]",M
46,"[[150 150 150 ... 148 151 150]
 [152 147 152 ... 152 148 150]
 [150 151  50 ...  76  80 150]
 ...
 [147 154  42 ... 163 165 150]
 [151 148  55 ... 161 163 152]
 [150 149 150 ... 149 153 147]]",M
47,"[[149 151 149 ... 150 150 150]
 [153 147 152 ... 150 153 146]
 [146 152  30 ...  17  29 153]
 ...
 [149 151  32 ...   5  16 150]
 [150 152  48 ...  15  29 153]
 [150 148 149 ... 150 154 145]]",M
48,"[[149 152 147 ... 151 148 151]
 [151 148 153 ... 149 151 150]
 [150 152 208 ... 121 141 151]
 ...
 [149 151  26 ...  22  34 146]
 [150 150  34 ...  28  39 150]
 [150 150 152 ... 151 149 150]]",M
49,"[[150 149 151 ... 149 150 150]
 [151 153 148 ... 149 150 149]
 [149 149 194 ...  39  50 151]
 ...
 [150 150  39 ...  22  35 149]
 [149 152  52 ...  34  43 149]
 [150 150 148 ... 150 152 153]]",M
50,"[[150 152 149 ... 150 150 150]
 [150 143 152 ... 150 151 151]
 [150 153  37 ...  46  61 150]
 ...
 [150 151  49 ... 112 133 150]
 [149 151  61 ...  90 105 147]
 [149 151 150 ... 151 148 156]]",F
51,"[[150 150 150 ... 150 152 149]
 [150 149 148 ... 151 148 151]
 [149 153 157 ... 129 128 153]
 ...
 [147 151  86 ... 110  73 149]
 [151 148  95 ...  98  77 150]
 [150 151 147 ... 147 154 149]]",M
52,"[[151 150 150 ... 150 150 150]
 [148 151 151 ... 150 153 144]
 [152 149  50 ...  40  39 153]
 ...
 [150 153  38 ...  30  36 151]
 [150 153  48 ...  42  48 149]
 [151 146 153 ... 147 151 150]]",F
53,"[[151 149 151 ... 149 150 150]
 [147 156 146 ... 151 149 150]
 [152 146  81 ... 232 222 150]
 ...
 [150 149 177 ...  12  27 150]
 [150 149 173 ...  21  39 150]
 [150 150 150 ... 150 150 150]]",F
54,"[[150 150 151 ... 150 149 151]
 [150 144 153 ... 149 153 147]
 [150 154  32 ... 182 182 155]
 ...
 [150 147  44 ... 218 214 148]
 [150 150  56 ... 215 203 152]
 [150 153 149 ... 147 154 148]]",F
55,"[[147 152 150 ... 148 150 150]
 [153 145 154 ... 155 148 150]
 [146 151  46 ... 209 197 151]
 ...
 [150 149  15 ...  22  23 152]
 [149 153  28 ...  28  36 150]
 [151 146 152 ... 148 151 149]]",F
56,"[[150 151 150 ... 148 150 150]
 [150 152 148 ... 153 149 151]
 [150 150 141 ...  38  60 152]
 ...
 [150 149  23 ...  58  54 152]
 [151 148  40 ...  57  60 148]
 [151 151 150 ... 148 149 152]]",-
57,"[[150 150 151 ... 150 149 152]
 [150 150 145 ... 150 151 145]
 [148 153 105 ... 202 202 153]
 ...
 [149 151 135 ... 220 213 149]
 [150 146 139 ... 214 204 149]
 [150 151 150 ... 149 153 147]]",F
58,"[[150 150 147 ... 148 151 149]
 [149 154 154 ... 151 151 147]
 [150 149  45 ...  35  51 151]
 ...
 [149 154  63 ... 132 126 153]
 [151 147  78 ... 130 128 151]
 [149 154 145 ... 150 147 153]]",F
59,"[[150 150 150 ... 149 148 149]
 [150 145 153 ... 154 151 155]
 [150 155  48 ...  85  93 146]
 ...
 [149 153  53 ...  54  73 152]
 [150 148  65 ...  48  70 149]
 [150 149 150 ... 154 144 151]]",M
60,"[[149 151 148 ... 149 151 149]
 [151 144 153 ... 150 147 151]
 [150 155 214 ... 191 208 151]
 ...
 [153 144 223 ... 227 219 147]
 [151 150 212 ... 220 207 151]
 [150 148 151 ... 150 150 149]]",M
61,"[[151 151 151 ... 150 150 150]
 [149 151 146 ... 148 147 154]
 [150 149 122 ... 114 118 148]
 ...
 [150 150 233 ... 241 225 150]
 [150 149 206 ... 227 217 152]
 [150 147 149 ... 150 151 149]]",F
62,"[[150 149 151 ... 149 150 150]
 [150 155 147 ... 150 150 151]
 [150 146  64 ...  36  55 150]
 ...
 [150 150  74 ...  67  69 151]
 [150 147  84 ...  69  79 151]
 [150 153 146 ... 150 149 151]]",M
63,"[[150 151 147 ... 150 150 151]
 [150 146 153 ... 148 152 146]
 [150 152  40 ... 157 178 155]
 ...
 [150 153 128 ... 119 117 149]
 [149 153  61 ...  78  77 151]
 [150 152 151 ... 149 155 146]]",M
64,"[[150 151 148 ... 150 151 149]
 [150 149 151 ... 150 148 150]
 [152 149  52 ...  49  58 148]
 ...
 [150 154  77 ...   1  17 150]
 [150 149  83 ...  18  28 152]
 [148 153 147 ... 150 153 150]]",M
65,"[[150 150 150 ... 149 150 150]
 [150 150 154 ... 151 152 149]
 [150 149 175 ... 201 204 150]
 ...
 [149 153 177 ... 106 107 150]
 [151 145 143 ... 112 115 148]
 [150 151 151 ... 149 146 154]]",-
66,"[[150 150 150 ... 147 152 149]
 [150 154 147 ... 152 145 151]
 [150 147 107 ...  88  91 149]
 ...
 [149 148  45 ... 182 186 150]
 [150 149  57 ... 194 197 149]
 [150 151 151 ... 147 156 153]]",M
67,"[[148 151 148 ... 145 152 150]
 [151 149 150 ... 148 151 150]
 [150 146  63 ...  38  45 150]
 ...
 [147 150 104 ... 111 107 150]
 [149 153  79 ... 113 109 150]
 [150 150 150 ... 150 150 150]]",F
68,"[[149 151 149 ... 150 150 147]
 [152 149 151 ... 146 152 152]
 [148 152  49 ...  26  38 149]
 ...
 [149 155  74 ... 190 187 150]
 [149 147  71 ... 186 180 154]
 [152 153 149 ... 151 152 148]]",F
69,"[[151 149 151 ... 150 149 150]
 [149 148 147 ... 149 149 151]
 [150 152 221 ... 227 215 151]
 ...
 [150 152 208 ... 235 222 151]
 [150 151 180 ... 222 212 149]
 [150 149 150 ... 150 151 151]]",F
70,"[[150 149 149 ... 152 150 150]
 [149 155 150 ... 152 149 151]
 [150 148  65 ...  91  91 151]
 ...
 [150 151  99 ...  31  41 151]
 [151 146 100 ...  36  53 148]
 [150 152 150 ... 150 149 149]]",M
71,"[[151 151 150 ... 150 149 149]
 [152 144 152 ... 148 150 151]
 [148 153 199 ...  30  42 152]
 ...
 [150 147 172 ... 129 153 149]
 [150 153 174 ... 128 153 153]
 [150 147 150 ... 152 151 149]]",F
72,"[[150 151 149 ... 150 150 150]
 [151 148 152 ... 150 150 150]
 [148 151  34 ...  15  27 150]
 ...
 [150 151  20 ...  53  52 150]
 [150 150  31 ...  41  50 150]
 [150 150 150 ... 150 150 150]]",F
73,"[[149 150 150 ... 150 150 151]
 [150 149 152 ... 154 145 153]
 [149 151  78 ...  71  86 145]
 ...
 [151 151  96 ...  48  39 146]
 [151 144 103 ...  54  45 155]
 [149 152 149 ... 149 152 148]]",M
74,"[[150 151 148 ... 150 150 150]
 [151 145 153 ... 150 147 150]
 [150 151  45 ...  58  66 152]
 ...
 [150 149 133 ...  17  25 150]
 [150 150 138 ...  25  36 151]
 [150 150 147 ... 150 151 149]]",M
75,"[[149 151 150 ... 150 150 150]
 [150 148 151 ... 150 153 150]
 [150 154  26 ... 201 182 150]
 ...
 [150 149 146 ...  13  22 150]
 [151 147 150 ...  19  31 150]
 [150 150 150 ... 150 150 150]]",M
76,"[[150 150 150 ... 151 148 149]
 [149 151 150 ... 147 153 152]
 [148 153  38 ...  21  32 147]
 ...
 [152 151  23 ...  16  28 151]
 [149 149  32 ...  28  39 150]
 [150 151 152 ... 151 149 151]]",M
77,"[[150 148 152 ... 151 150 150]
 [148 154 146 ... 149 149 150]
 [151 148  80 ...  43  50 149]
 ...
 [150 150  16 ...  38  38 151]
 [150 152  29 ...  28  47 147]
 [150 147 149 ... 150 150 150]]",F
78,"[[150 150 150 ... 150 150 151]
 [149 152 147 ... 151 148 151]
 [153 145 106 ...  72  69 148]
 ...
 [150 155  40 ...  38  32 152]
 [149 151  47 ...  32  41 152]
 [151 146 153 ... 151 153 145]]",F
79,"[[150 150 150 ... 151 147 152]
 [149 150 149 ... 149 154 146]
 [151 148 140 ... 220 213 154]
 ...
 [150 150 149 ... 201 200 151]
 [150 149 151 ... 202 193 155]
 [150 150 150 ... 150 152 146]]",F
80,"[[149 152 149 ... 151 150 150]
 [150 151 153 ... 149 149 147]
 [149 150  67 ...  75  89 153]
 ...
 [150 152  39 ...  34  54 149]
 [150 147  52 ...  41  33 151]
 [151 152 147 ... 148 147 148]]",F
81,"[[152 147 150 ... 150 150 150]
 [149 154 150 ... 151 149 146]
 [151 147 115 ... 224 212 153]
 ...
 [150 149 190 ... 204 203 147]
 [150 150 187 ... 199 197 153]
 [153 145 154 ... 150 154 145]]",F
82,"[[149 151 147 ... 150 150 148]
 [150 145 154 ... 146 152 153]
 [150 152  33 ...  28  40 149]
 ...
 [150 146  26 ...  18  32 150]
 [149 153  35 ...  33  39 152]
 [150 152 149 ... 149 150 147]]",F
83,"[[150 149 151 ... 149 150 150]
 [151 152 145 ... 151 147 150]
 [150 149 207 ... 120 140 152]
 ...
 [150 149 122 ...  38  43 149]
 [150 151 127 ...  49  50 152]
 [150 149 149 ... 151 150 149]]",F
84,"[[150 151 149 ... 147 150 150]
 [148 150 152 ... 153 151 150]
 [151 150 111 ...  35  43 150]
 ...
 [150 150  57 ...  74  65 150]
 [150 150  58 ...  72  67 150]
 [150 150 150 ... 150 150 150]]",M
85,"[[150 150 150 ... 150 150 150]
 [150 149 153 ... 149 153 146]
 [152 148  48 ...  49  54 149]
 ...
 [150 149 227 ...  32  41 150]
 [150 151 217 ...  41  51 150]
 [150 148 149 ... 149 151 149]]",M
86,"[[149 151 150 ... 150 149 150]
 [151 145 152 ... 151 152 150]
 [148 154  35 ...  20  29 151]
 ...
 [149 150  56 ... 208 221 149]
 [150 150  58 ... 211 212 151]
 [149 150 153 ... 149 152 149]]",F
87,"[[150 150 151 ... 151 147 152]
 [149 151 144 ... 151 152 150]
 [151 149 118 ... 201 191 147]
 ...
 [150 150 118 ... 157 142 148]
 [150 149 132 ... 158 147 150]
 [150 150 147 ... 152 147 151]]",F
88,"[[150 151 147 ... 150 150 148]
 [151 144 153 ... 152 147 150]
 [148 154 213 ... 115 121 146]
 ...
 [150 147  36 ...  25  43 149]
 [150 152  43 ...  45  57 150]
 [150 150 150 ... 149 149 150]]",F
89,"[[150 150 150 ... 150 147 151]
 [149 149 151 ... 149 153 150]
 [150 151 157 ... 218 207 148]
 ...
 [150 148 139 ... 116 111 149]
 [150 149 140 ... 110 106 147]
 [150 152 146 ... 151 149 152]]",M
90,"[[149 150 150 ... 149 150 150]
 [151 147 154 ... 150 150 150]
 [149 152  49 ... 125 124 150]
 ...
 [149 151  75 ...  45  49 150]
 [149 153 127 ...  48  56 150]
 [150 150 150 ... 150 150 150]]",F
91,"[[150 150 150 ... 150 151 149]
 [151 145 153 ... 152 147 154]
 [150 155  32 ...  87  99 149]
 ...
 [151 151  23 ...  17  30 151]
 [150 147  35 ...  28  40 149]
 [151 151 151 ... 153 152 150]]",F
92,"[[149 151 148 ... 150 150 150]
 [151 145 156 ... 149 149 153]
 [148 151  42 ...  58  65 153]
 ...
 [151 149  89 ...  46  50 150]
 [150 151  94 ...  52  54 152]
 [150 148 149 ... 149 150 153]]",F
93,"[[150 151 149 ... 149 150 151]
 [150 145 151 ... 149 151 152]
 [149 153  46 ...  52  51 148]
 ...
 [149 152  39 ...  45  45 151]
 [150 152  46 ...  51  52 148]
 [151 146 156 ... 149 150 152]]",F
94,"[[151 149 150 ... 150 150 150]
 [151 147 152 ... 154 147 154]
 [149 152  70 ... 111 118 150]
 ...
 [149 150  97 ...  85  78 148]
 [151 149 113 ...  89  71 152]
 [149 153 149 ... 149 153 150]]",F
